,q38,q49,se3a
11142,2.0,1.0,2
11143,2.0,1.0,9
11144,2.0,3.0,7
11145,2.0,3.0,8
11146,2.0,2.0,3
11147,2.0,1.0,10
11148,2.0,1.0,3
11149,2.0,4.0,10
11150,2.0,2.0,4
11151,2.0,3.0,11
11152,2.0,1.0,5
11153,2.0,2.0,3
11154,2.0,2.0,2
11155,2.0,3.0,5
11156,2.0,3.0,3
11157,2.0,3.0,3
11158,1.0,2.0,4
11159,2.0,4.0,3
11160,2.0,3.0,3
11161,2.0,3.0,12
11162,1.0,1.0,4
11163,2.0,2.0,3
11164,2.0,2.0,6
11165,2.0,1.0,10
11166,2.0,3.0,9
11167,2.0,2.0,8
11168,2.0,2.0,6
11169,2.0,3.0,4
11170,2.0,2.0,10
11171,2.0,2.0,2
11172,1.0,2.0,2
11173,2.0,1.0,4
11174,2.0,2.0,4
11175,2.0,2.0,3
11176,1.0,1.0,5
11177,1.0,2.0,3
11178,1.0,3.0,2
11179,2.0,2.0,11
11180,2.0,4.0,7
11181,1.0,3.0,7
11182,1.0,2.0,7
11183,2.0,2.0,6
11184,2.0,2.0,10
11185,2.0,2.0,4
11186,2.0,3.0,8
11187,1.0,1.0,5
11188,2.0,1.0,8
11189,2.0,3.0,3
11190,2.0,2.0,10
11191,2.0,2.0,6
11192,2.0,2.0,11
11193,1.0,3.0,3
11194,,1.0,7
11195,1.0,3.0,9
11196,2.0,4.0,7
11197,2.0,1.0,11
11198,2.0,3.0,8
11199,2.0,2.0,8
11200,2.0,2.0,4
11201,2.0,3.0,5
11202,2.0,1.0,7
11203,2.0,3.0,2
11204,2.0,3.0,6
11205,2.0,2.0,10
11206,2.0,2.0,7
11207,2.0,1.0,4
11208,2.0,1.0,4
11209,1.0,1.0,3
11210,2.0,1.0,3
11211,2.0,3.0,3
11212,2.0,1.0,11
11213,1.0,1.0,3
11214,2.0,3.0,5
11215,2.0,3.0,12
11216,2.0,1.0,10
11217,2.0,1.0,2
11218,1.0,4.0,7
11219,2.0,1.0,6
11220,2.0,3.0,6
11221,2.0,1.0,5
11222,1.0,1.0,9
11223,2.0,3.0,8
11224,2.0,2.0,6
11225,2.0,1.0,4
11226,2.0,3.0,5
11227,,1.0,2
11228,2.0,2.0,7
11229,2.0,3.0,2
11230,2.0,2.0,6
11231,2.0,1.0,12
11232,2.0,1.0,3
11233,2.0,3.0,3
11234,2.0,3.0,6
11235,2.0,,11
11236,2.0,1.0,5
11237,1.0,,9
11238,2.0,1.0,2
11239,2.0,2.0,2
11240,2.0,2.0,7
11241,2.0,2.0,6
11242,2.0,2.0,4
11243,1.0,1.0,2
11244,,3.0,2
11245,2.0,2.0,4
11246,2.0,1.0,11
11247,1.0,2.0,7
11248,2.0,2.0,9
11249,2.0,1.0,2
11250,2.0,2.0,5
11251,2.0,1.0,10
11252,2.0,2.0,3
11253,2.0,1.0,2
11254,2.0,3.0,6
11255,2.0,2.0,3
11256,2.0,1.0,6
11257,2.0,2.0,3
11258,2.0,1.0,7
11259,2.0,1.0,9
11260,,1.0,8
11261,1.0,2.0,3
11262,1.0,1.0,4
11263,2.0,1.0,3
11264,1.0,1.0,4
11265,2.0,1.0,3
11266,2.0,4.0,6
11267,2.0,1.0,2
11268,,2.0,2
11269,2.0,3.0,10
11270,2.0,2.0,10
11271,2.0,2.0,5
11272,2.0,2.0,7
11273,1.0,3.0,2
11274,2.0,2.0,3
11275,,2.0,2
11276,2.0,3.0,9
11277,2.0,2.0,12
11278,,3.0,2
11279,2.0,3.0,7
11280,2.0,4.0,2
11281,2.0,3.0,8
11282,2.0,2.0,8
11283,2.0,1.0,3
11284,2.0,3.0,11
11285,2.0,3.0,7
11286,2.0,3.0,9
11287,2.0,4.0,10
11288,2.0,2.0,10
11289,2.0,3.0,10
11290,2.0,3.0,5
11291,2.0,2.0,2
11292,2.0,2.0,10
11293,2.0,3.0,6
11294,2.0,1.0,9
11295,2.0,3.0,10
11296,2.0,1.0,7
11297,2.0,1.0,7
11298,2.0,2.0,6
11299,2.0,2.0,10
11300,2.0,3.0,3
11301,2.0,2.0,7
11302,2.0,2.0,7
11303,2.0,1.0,7
11304,2.0,2.0,5
11305,2.0,2.0,9
11306,2.0,2.0,4
11307,2.0,4.0,4
11308,,2.0,2
11309,2.0,3.0,5
11310,2.0,2.0,7
11311,2.0,3.0,7
11312,2.0,4.0,7
11313,2.0,2.0,2
11314,2.0,3.0,2
11315,2.0,3.0,10
11316,2.0,3.0,10
11317,,2.0,2
11318,2.0,2.0,5
11319,2.0,3.0,10
11320,2.0,2.0,2
11321,2.0,3.0,10
11322,1.0,1.0,4
11323,2.0,3.0,7
11324,2.0,3.0,8
11325,2.0,1.0,12
11326,2.0,3.0,6
11327,2.0,2.0,8
11328,2.0,2.0,6
11329,2.0,1.0,2
11330,2.0,,7
11331,2.0,2.0,6
11332,1.0,1.0,2
11333,2.0,2.0,4
11334,2.0,2.0,6
11335,2.0,2.0,5
11336,2.0,2.0,5
11337,2.0,2.0,7
11338,2.0,3.0,5
11339,2.0,2.0,3
11340,2.0,2.0,5
11341,2.0,1.0,5
11342,2.0,4.0,8
11343,1.0,1.0,4
11344,2.0,1.0,6
11345,2.0,3.0,6
11346,2.0,3.0,8
11347,2.0,4.0,2
11348,2.0,3.0,5
11349,2.0,2.0,6
11350,2.0,2.0,3
11351,2.0,2.0,4
11352,2.0,1.0,8
11353,2.0,2.0,6
11354,2.0,3.0,8
11355,,2.0,2
11356,2.0,3.0,3
11357,2.0,4.0,9
11358,2.0,3.0,5
11359,2.0,2.0,4
11360,2.0,3.0,6
11361,2.0,3.0,3
11362,2.0,3.0,6
11363,2.0,2.0,9
11364,1.0,1.0,2
11365,1.0,1.0,4
11366,2.0,3.0,12
11367,,3.0,2
11368,1.0,3.0,3
11369,2.0,1.0,3
11370,2.0,2.0,7
11371,2.0,1.0,6
11372,1.0,2.0,8
11373,2.0,1.0,10
11374,2.0,2.0,5
11375,2.0,3.0,5
11376,2.0,3.0,5
11377,2.0,3.0,5
11378,2.0,2.0,6
11379,2.0,2.0,8
11380,2.0,3.0,7
11381,2.0,3.0,4
11382,2.0,1.0,4
11383,2.0,3.0,3
11384,2.0,2.0,8
11385,1.0,1.0,5
11386,2.0,2.0,6
11387,2.0,2.0,3
11388,2.0,2.0,4
11389,2.0,3.0,6
11390,,2.0,2
11391,2.0,3.0,6
11392,2.0,3.0,8
11393,2.0,3.0,7
11394,2.0,1.0,7
11395,,1.0,5
11396,2.0,2.0,8
11397,2.0,3.0,4
11398,1.0,1.0,12
11399,2.0,3.0,9
11400,2.0,1.0,4
11401,2.0,1.0,12
11402,2.0,1.0,11
11403,2.0,1.0,10
11404,2.0,2.0,11
11405,2.0,1.0,5
11406,1.0,1.0,5
11407,2.0,2.0,8
11408,2.0,2.0,12
11409,2.0,1.0,5
11410,2.0,3.0,3
11411,2.0,1.0,7
11412,2.0,3.0,4
11413,2.0,2.0,4
11414,2.0,4.0,10
11415,2.0,3.0,10
11416,2.0,2.0,6
11417,2.0,2.0,4
11418,1.0,2.0,3
11419,2.0,2.0,11
11420,2.0,1.0,12
11421,,2.0,2
11422,2.0,3.0,11
11423,2.0,2.0,6
11424,2.0,2.0,6
11425,2.0,2.0,12
11426,2.0,2.0,4
11427,1.0,2.0,4
11428,,1.0,2
11429,1.0,2.0,2
11430,2.0,1.0,10
11431,2.0,4.0,11
11432,2.0,1.0,7
11433,1.0,1.0,2
11434,2.0,1.0,3
11435,2.0,1.0,6
11436,2.0,3.0,9
11437,2.0,1.0,7
11438,2.0,1.0,11
11439,2.0,1.0,10
11440,2.0,2.0,11
11441,2.0,2.0,10
11442,2.0,3.0,6
11443,2.0,2.0,7
11444,2.0,2.0,2
11445,2.0,2.0,12
11446,2.0,1.0,10
11447,2.0,2.0,7
11448,2.0,2.0,9
11449,2.0,2.0,8
11450,2.0,4.0,8
11451,2.0,2.0,4
11452,2.0,2.0,6
11453,2.0,2.0,7
11454,2.0,2.0,3
11455,2.0,3.0,7
11456,2.0,1.0,11
11457,2.0,2.0,4
11458,2.0,1.0,9
11459,2.0,2.0,5
11460,2.0,3.0,6
11461,2.0,2.0,9
11462,2.0,3.0,10
11463,2.0,2.0,6
11464,2.0,1.0,3
11465,,3.0,3
11466,2.0,2.0,8
11467,2.0,1.0,4
11468,1.0,1.0,4
11469,2.0,1.0,11
11470,2.0,3.0,10
11471,2.0,3.0,6
11472,2.0,1.0,5
11473,1.0,1.0,4
11474,2.0,1.0,8
11475,2.0,2.0,2
11476,2.0,1.0,10
11477,2.0,2.0,5
11478,2.0,3.0,10
11479,2.0,3.0,12
11480,2.0,2.0,6
11481,2.0,3.0,6
11482,2.0,3.0,12
11483,2.0,1.0,4
11484,2.0,1.0,10
11485,2.0,3.0,4
11486,2.0,2.0,4
11487,2.0,2.0,9
11488,1.0,3.0,6
11489,2.0,2.0,8
11490,2.0,3.0,10
11491,2.0,2.0,4
11492,2.0,2.0,3
11493,2.0,1.0,4
11494,2.0,3.0,11
11495,2.0,1.0,8
11496,2.0,2.0,10
11497,2.0,2.0,7
11498,2.0,3.0,10
11499,2.0,2.0,12
11500,2.0,1.0,10
11501,1.0,1.0,8
11502,2.0,3.0,8
11503,2.0,2.0,4
11504,2.0,3.0,3
11505,2.0,1.0,9
11506,1.0,1.0,9
11507,2.0,1.0,10
11508,1.0,2.0,4
11509,2.0,2.0,4
11510,2.0,3.0,5
11511,1.0,2.0,9
11512,2.0,3.0,3
11513,2.0,2.0,10
11514,2.0,1.0,5
11515,2.0,3.0,8
11516,,3.0,2
11517,2.0,3.0,8
11518,1.0,3.0,3
11519,2.0,1.0,3
11520,2.0,1.0,9
11521,2.0,1.0,4
11522,2.0,3.0,7
11523,2.0,1.0,5
11524,2.0,1.0,3
11525,2.0,2.0,8
11526,2.0,1.0,3
11527,2.0,1.0,9
11528,2.0,2.0,2
11529,1.0,2.0,4
11530,2.0,2.0,7
11531,2.0,3.0,6
11532,2.0,1.0,4
11533,2.0,2.0,10
11534,,1.0,2
11535,2.0,3.0,6
11536,2.0,1.0,5
11537,1.0,1.0,11
11538,2.0,3.0,6
11539,2.0,3.0,4
11540,2.0,4.0,7
11541,2.0,1.0,7
11542,2.0,3.0,8
11543,2.0,2.0,10
11544,2.0,2.0,10
11545,2.0,2.0,12
11546,2.0,1.0,10
11547,2.0,1.0,3
11548,2.0,3.0,2
11549,2.0,2.0,12
11550,2.0,2.0,5
11551,1.0,2.0,2
11552,2.0,2.0,9
11553,2.0,3.0,4
11554,2.0,3.0,6
11555,2.0,3.0,2
11556,,3.0,2
11557,2.0,1.0,8
11558,2.0,2.0,7
11559,2.0,2.0,2
11560,2.0,1.0,11
11561,2.0,1.0,10
11562,2.0,1.0,8
11563,1.0,2.0,3
11564,2.0,3.0,10
11565,2.0,3.0,3
11566,2.0,1.0,11
11567,2.0,2.0,3
11568,2.0,3.0,6
11569,2.0,2.0,6
11570,2.0,3.0,5
11571,,2.0,7
11572,,1.0,2
11573,2.0,3.0,7
11574,2.0,3.0,7
11575,2.0,2.0,7
11576,1.0,2.0,8
11577,2.0,3.0,4
11578,2.0,1.0,6
11579,2.0,1.0,5
11580,2.0,2.0,7
11581,2.0,2.0,4
11582,2.0,3.0,8
11583,2.0,1.0,9
11584,2.0,3.0,9
11585,2.0,3.0,11
11586,2.0,2.0,4
11587,2.0,2.0,7
11588,,2.0,2
11589,,2.0,2
11590,2.0,2.0,7
11591,2.0,2.0,7
11592,2.0,3.0,5
11593,1.0,1.0,7
11594,2.0,2.0,7
11595,2.0,2.0,6
11596,1.0,2.0,7
11597,2.0,1.0,3
11598,2.0,3.0,8
11599,1.0,3.0,3
11600,2.0,1.0,6
11601,2.0,2.0,6
11602,,1.0,2
11603,2.0,2.0,9
11604,2.0,4.0,10
11605,2.0,1.0,12
11606,1.0,3.0,3
11607,2.0,2.0,8
11608,2.0,2.0,10
11609,2.0,2.0,10
11610,2.0,2.0,8
11611,2.0,1.0,7
11612,2.0,1.0,6
11613,2.0,3.0,5
11614,2.0,1.0,12
11615,2.0,2.0,10
11616,2.0,2.0,9
11617,2.0,1.0,10
11618,2.0,3.0,9
11619,2.0,,11
11620,2.0,2.0,3
11621,2.0,2.0,8
11622,2.0,,7
11623,2.0,3.0,6
11624,2.0,1.0,9
11625,2.0,1.0,10
11626,2.0,2.0,8
11627,2.0,4.0,8
11628,2.0,2.0,5
11629,2.0,1.0,9
11630,2.0,1.0,5
11631,2.0,2.0,2
11632,2.0,2.0,5
11633,2.0,2.0,4
11634,2.0,1.0,9
11635,,2.0,2
11636,1.0,1.0,2
11637,2.0,3.0,3
11638,2.0,1.0,9
11639,2.0,2.0,6
11640,2.0,2.0,3
11641,2.0,2.0,11
11642,,3.0,2
11643,2.0,3.0,5
11644,2.0,2.0,7
11645,2.0,3.0,9
11646,2.0,3.0,5
11647,2.0,1.0,7
11648,2.0,3.0,3
11649,2.0,2.0,8
11650,2.0,2.0,11
11651,,2.0,2
11652,2.0,2.0,2
11653,2.0,3.0,7
11654,2.0,3.0,3
11655,2.0,3.0,6
11656,2.0,2.0,5
11657,2.0,2.0,3
11658,2.0,3.0,8
11659,2.0,2.0,6
11660,1.0,2.0,2
11661,2.0,1.0,9
11662,2.0,2.0,4
11663,2.0,2.0,4
11664,2.0,2.0,3
11665,2.0,2.0,12
11666,2.0,2.0,6
11667,2.0,1.0,11
11668,2.0,3.0,10
11669,1.0,2.0,3
11670,2.0,1.0,4
11671,2.0,4.0,7
11672,2.0,2.0,3
11673,2.0,3.0,10
11674,2.0,,8
11675,2.0,2.0,3
11676,2.0,3.0,4
