,se002,se003,se005,se009,q056,q098,q131,q127,q027,complicated,age,voted
6791,2.0,10.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,60-70,Yes
6792,2.0,11.0,2.0,,1.0,3.0,3.0,1.0,1.0,Strongly agree,71-75,No
6793,2.0,11.0,1.0,1.0,2.0,,2.0,2.0,1.0,Somewhat agree,71-75,No
6794,2.0,12.0,1.0,,1.0,3.0,2.0,1.0,2.0,Strongly agree,76+,Yes
6795,2.0,11.0,3.0,,1.0,3.0,2.0,3.0,2.0,Somewhat disagree,71-75,Yes
6796,1.0,2.0,8.0,1.0,3.0,2.0,3.0,4.0,2.0,Strongly disagree,20-24,Yes
6797,1.0,2.0,8.0,1.0,2.0,3.0,2.0,3.0,,Somewhat disagree,20-24,No
6798,1.0,5.0,8.0,1.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,35-39,Yes
6799,1.0,5.0,9.0,4.0,3.0,2.0,2.0,3.0,2.0,Somewhat disagree,35-39,Yes
6800,1.0,7.0,7.0,1.0,3.0,2.0,2.0,2.0,2.0,Somewhat agree,45-49,Yes
6801,1.0,7.0,8.0,2.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,45-49,Yes
6802,1.0,8.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,Somewhat disagree,50-54,Yes
6803,1.0,9.0,4.0,1.0,3.0,2.0,4.0,3.0,2.0,Somewhat disagree,55-59,Yes
6804,1.0,10.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,Somewhat agree,60-70,Yes
6805,1.0,10.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,Strongly agree,60-70,Yes
6806,1.0,10.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,Strongly agree,60-70,Yes
6807,2.0,2.0,8.0,2.0,2.0,2.0,4.0,2.0,2.0,Somewhat agree,20-24,Yes
6808,2.0,5.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,Somewhat agree,35-39,Yes
6809,2.0,5.0,6.0,1.0,2.0,3.0,2.0,3.0,2.0,Somewhat disagree,35-39,Yes
6810,2.0,6.0,7.0,1.0,2.0,3.0,2.0,1.0,1.0,Strongly agree,40-44,No
6811,2.0,6.0,5.0,1.0,3.0,2.0,3.0,3.0,2.0,Somewhat disagree,40-44,Yes
6812,2.0,9.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,Strongly agree,55-59,Yes
6813,2.0,8.0,7.0,2.0,3.0,2.0,2.0,1.0,2.0,Strongly agree,50-54,Yes
6814,2.0,10.0,1.0,,1.0,3.0,1.0,1.0,2.0,Strongly agree,60-70,Yes
6815,2.0,10.0,6.0,1.0,2.0,3.0,2.0,2.0,2.0,Somewhat agree,60-70,Yes
6816,2.0,11.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,Strongly disagree,71-75,Yes
6817,2.0,11.0,1.0,,2.0,3.0,2.0,1.0,2.0,Strongly agree,71-75,Yes
