,country,q127,q098,q130,q106,q131,q005,q006,q111,name
145,4.0,,3.0,,4.0,2.0,5.0,4.0,5.0,Korea
146,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
147,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,Korea
148,4.0,1.0,3.0,,2.0,2.0,4.0,,5.0,Korea
149,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,5.0,Korea
150,4.0,2.0,3.0,,4.0,2.0,5.0,4.0,5.0,Korea
151,4.0,2.0,3.0,,4.0,2.0,5.0,,4.0,Korea
152,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,Korea
153,4.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,3.0,Korea
154,4.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,5.0,Korea
155,4.0,,4.0,2.0,3.0,3.0,4.0,3.0,4.0,Korea
156,4.0,,,,3.0,2.0,4.0,4.0,4.0,Korea
157,4.0,,,2.0,,3.0,5.0,5.0,4.0,Korea
158,4.0,2.0,,2.0,,2.0,4.0,5.0,3.0,Korea
159,4.0,,3.0,2.0,4.0,3.0,5.0,5.0,5.0,Korea
160,4.0,2.0,4.0,,3.0,2.0,4.0,5.0,5.0,Korea
161,4.0,,,,4.0,,3.0,3.0,4.0,Korea
162,4.0,,,2.0,3.0,2.0,3.0,,5.0,Korea
163,4.0,,,,3.0,3.0,2.0,4.0,5.0,Korea
164,4.0,2.0,,,,,4.0,4.0,5.0,Korea
165,4.0,,,,3.0,,4.0,5.0,4.0,Korea
166,4.0,,,2.0,4.0,2.0,2.0,5.0,4.0,Korea
167,4.0,2.0,3.0,2.0,3.0,2.0,5.0,4.0,5.0,Korea
168,4.0,,2.0,2.0,3.0,3.0,3.0,3.0,5.0,Korea
169,4.0,2.0,,,,2.0,5.0,4.0,5.0,Korea
170,4.0,2.0,3.0,1.0,4.0,2.0,4.0,4.0,5.0,Korea
171,4.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,Korea
172,4.0,2.0,4.0,1.0,4.0,2.0,5.0,4.0,5.0,Korea
173,4.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0,5.0,Korea
174,4.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,Korea
175,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,5.0,Korea
176,4.0,2.0,3.0,2.0,4.0,2.0,3.0,5.0,5.0,Korea
177,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,5.0,Korea
178,4.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,5.0,Korea
179,4.0,3.0,3.0,2.0,4.0,2.0,5.0,5.0,5.0,Korea
180,4.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,5.0,Korea
181,4.0,3.0,,2.0,5.0,2.0,5.0,5.0,5.0,Korea
182,4.0,3.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,Korea
183,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,Korea
184,4.0,,3.0,3.0,,2.0,3.0,4.0,5.0,Korea
185,4.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,Korea
186,4.0,2.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,Korea
187,4.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,5.0,Korea
188,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,Korea
189,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,5.0,Korea
190,4.0,3.0,3.0,1.0,5.0,2.0,4.0,4.0,5.0,Korea
191,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,Korea
192,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,5.0,Korea
193,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,Korea
194,4.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,5.0,Korea
195,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
196,4.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
197,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,Korea
198,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,Korea
199,4.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,Korea
200,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,Korea
