,country,q027,q029,q127,q098,q130,q106,q131,q005,q006,q111,name
7552,5.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,3.0,Thailand
7553,5.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,Thailand
7554,5.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,Thailand
7555,5.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,3.0,5.0,2.0,Thailand
7556,5.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,4.0,4.0,Thailand
7557,5.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,3.0,Thailand
7558,5.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0,5.0,3.0,Thailand
7559,5.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,Thailand
7560,5.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,Thailand
7561,5.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,4.0,Thailand
7562,5.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,Thailand
7563,5.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,Thailand
7564,5.0,,1.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,Thailand
7565,5.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,Thailand
7566,5.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,Thailand
7567,5.0,2.0,2.0,3.0,2.0,,3.0,2.0,3.0,3.0,2.0,Thailand
7568,5.0,1.0,1.0,2.0,2.0,,4.0,,3.0,3.0,3.0,Thailand
7569,5.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,Thailand
7570,5.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,Thailand
7571,5.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,Thailand
7572,5.0,2.0,1.0,2.0,2.0,3.0,3.0,,2.0,3.0,4.0,Thailand
7573,5.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,Thailand
7574,5.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,Thailand
7575,5.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,Thailand
7576,5.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,Thailand
7577,5.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,,4.0,Thailand
7578,5.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,Thailand
7579,5.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,Thailand
7580,5.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,,5.0,Thailand
7581,5.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,Thailand
7582,5.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,Thailand
7583,5.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,Thailand
7584,5.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,Thailand
7585,5.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,4.0,5.0,4.0,Thailand
7586,5.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,Thailand
7587,5.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,Thailand
7588,5.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,Thailand
7589,5.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,Thailand
7590,5.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,Thailand
7591,5.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,Thailand
7592,5.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,Thailand
